id_zone;INSEE_C;LIBGEO;EPCI;DEP;REG;loypredm2;lwr.IPm2;upr.IPm2;TYPPRED;nbobs_com;nbobs_mail;R2_adj,,,,
1;64308;Lalonquette;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;2;755;0,849258038
1;64239;Gerderest;200067296;64;75;8,215222178;7,023940076;9,608549433;maille;3;755;0,849258038
1;64514;Séby;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;1;755;0,849258038
1;64524;Simacourbe;200067296;64;75;8,215222178;7,023940076;9,608549433;maille;1;755;0,849258038
1;64486;Saint-Jean-Poudge;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;0;755;0,849258038
1;64153;Burosse-Mendousse;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;0;755;0,849258038
1;64448;Poey-de-Lescar;200067254;64;75;8,215222178;7,023940076;9,608549433;maille;15;755;0,849258038
1;64523;Sévignacq;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;4;755;0,849258038
1;64408;Mouhous;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;3;755;0,849258038
1;64028;Anoye;200067296;64;75;8,215222178;7,023940076;9,608549433;maille;0;755;0,849258038
1;64347;Lonçon;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;0;755;0,849258038
1;64195;Coublucq;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;0;755;0,849258038
1;64232;Garlède-Mondebat;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;1;755;0,849258038
1;64318;Larreule;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;1;755;0,849258038
1;64307;Lalongue;200067296;64;75;8,215222178;7,023940076;9,608549433;maille;0;755;0,849258038
1;64089;Baleix;200067296;64;75;8,215222178;7,023940076;9,608549433;maille;0;755;0,849258038
1;64210;Escurès;200067296;64;75;8,215222178;7,023940076;9,608549433;maille;0;755;0,849258038
1;64385;Miossens-Lanusse;200067239;64;75;8,215222178;7,023940076;9,608549433;maille;0;755;0,849258038
